Interaction:  A_\rho_102(X)  A_\sigma_316(X)  to  e_alpha_139(X)  AntiPart e_beta_43(X)^(*) : Vertex V_0:A(X_2), e(X_3), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_4),  OffShell e(V_1), : -1/2*i*e^2*(p_2_%\mu_87*gamma_{+%\mu_87,%gam_187,%gam_188}*gamma_{%\sigma_175,%gam_150,%gam_187}*gamma_{%\sigma_177,%gam_188,%del_144}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_144}(p_4)_v*e_{i_7,%gam_150}(p_3)_u^(*) + (-2)*p_3_%\sigma_175*gamma_{%\sigma_177,%gam_158,%del_149}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_149}(p_4)_v*e_{i_7,%gam_158}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_10040(X)  A_\rho_10395(X)  to  AntiPart tt_gam_19037(X)^(*)  tt_del_11415(X) : Vertex V_1:A(X_2), AntiPart tt(X_3),  OffShell tt(V_1), Vertex V_0:A(X_1), tt(X_4), AntiPart  OffShell tt(V_0), : 2/9*i*e^2*(p_2_%\lambda_9043*gamma_{+%\lambda_9043,%gam_18926,%gam_18927}*gamma_{%\sigma_13590,%gam_18877,%gam_18926}*gamma_{%\sigma_13592,%gam_18927,%gam_18878}*A_{k_2951,+%\sigma_13590}(p_1)*A_{l_2951,+%\sigma_13592}(p_2)*tt_{i_2953,%gam_18878}(p_3)_v*tt_{j_2953,%gam_18877}(p_4)_u^(*) + (-2)*p_3_%\sigma_13592*gamma_{%\sigma_13590,%gam_18886,%gam_18887}*A_{k_2951,+%\sigma_13590}(p_1)*A_{l_2951,+%\sigma_13592}(p_2)*tt_{i_2953,%gam_18887}(p_3)_v*tt_{j_2953,%gam_18886}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_tt^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_10040(X)  A_\rho_10395(X)  to  AntiPart tt_gam_19037(X)^(*)  tt_del_11415(X) : Vertex V_0:A(X_2), tt(X_4), AntiPart  OffShell tt(V_0), Vertex V_1:A(X_1), AntiPart tt(X_3),  OffShell tt(V_1), : -2/9*i*e^2*(p_2_%\sigma_13634*gamma_{%\sigma_13630,%gam_18958,%gam_19016}*gamma_{%\sigma_13632,%gam_19017,%gam_18959}*gamma_{+%\sigma_13634,%gam_19016,%gam_19017}*A_{k_2951,+%\sigma_13632}(p_1)*A_{l_2951,+%\sigma_13630}(p_2)*tt_{i_2953,%gam_18959}(p_3)_v*tt_{j_2953,%gam_18958}(p_4)_u^(*) + (-2)*p_4_%\sigma_13630*gamma_{%\sigma_13632,%gam_18967,%gam_18968}*A_{k_2951,+%\sigma_13632}(p_1)*A_{l_2951,+%\sigma_13630}(p_2)*tt_{i_2953,%gam_18968}(p_3)_v*tt_{j_2953,%gam_18967}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_tt^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_10040(X)  AntiPart A_\nu_10180(X)  to  tt_beta_3791(X)  AntiPart tt_gam_19737(X)^(*) : Vertex V_1:A(X_2), AntiPart tt(X_4),  OffShell tt(V_1), Vertex V_0:A(X_1), tt(X_3), AntiPart  OffShell tt(V_0), : 2/9*i*e^2*(p_2_%\tau_10973*gamma_{%\sigma_13987,%gam_19580,%gam_19626}*gamma_{%\sigma_13989,%gam_19627,%gam_19581}*gamma_{+%\tau_10973,%gam_19626,%gam_19627}*A_{k_2985,+%\sigma_13987}(p_1)*A_{l_2985,+%\sigma_13989}(p_2)*tt_{i_2987,%gam_19580}(p_3)_u^(*)*tt_{j_2987,%gam_19581}(p_4)_v + (-2)*p_4_%\sigma_13989*gamma_{%\sigma_13987,%gam_19589,%gam_19590}*A_{k_2985,+%\sigma_13987}(p_1)*A_{l_2985,+%\sigma_13989}(p_2)*tt_{i_2987,%gam_19589}(p_3)_u^(*)*tt_{j_2987,%gam_19590}(p_4)_v)/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_tt^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_10040(X)  AntiPart A_\nu_10180(X)  to  tt_beta_3791(X)  AntiPart tt_gam_19737(X)^(*) : Vertex V_0:A(X_2), tt(X_3), AntiPart  OffShell tt(V_0), Vertex V_1:A(X_1), AntiPart tt(X_4),  OffShell tt(V_1), : -2/9*i*e^2*(p_2_%\lambda_9170*gamma_{+%\lambda_9170,%gam_19716,%gam_19717}*gamma_{%\sigma_14031,%gam_19655,%gam_19716}*gamma_{%\sigma_14033,%gam_19717,%gam_19656}*A_{k_2985,+%\sigma_14033}(p_1)*A_{l_2985,+%\sigma_14031}(p_2)*tt_{i_2987,%gam_19655}(p_3)_u^(*)*tt_{j_2987,%gam_19656}(p_4)_v + (-2)*p_3_%\sigma_14031*gamma_{%\sigma_14033,%gam_19664,%gam_19665}*A_{k_2985,+%\sigma_14033}(p_1)*A_{l_2985,+%\sigma_14031}(p_2)*tt_{i_2987,%gam_19664}(p_3)_u^(*)*tt_{j_2987,%gam_19665}(p_4)_v)/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_tt^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_10040(X)  AntiPart A_\nu_10180(X)  to  AntiPart tt_del_11761(X)^(*)  tt_eps_4758(X) : Vertex V_1:A(X_2), AntiPart tt(X_3),  OffShell tt(V_1), Vertex V_0:A(X_1), tt(X_4), AntiPart  OffShell tt(V_0), : 2/9*i*e^2*(p_2_%\nu_10225*gamma_{+%\nu_10225,%gam_20283,%gam_20284}*gamma_{%\sigma_14327,%gam_20254,%gam_20283}*gamma_{%\sigma_14329,%gam_20284,%del_11683}*A_{l_3015,+%\sigma_14329}(p_2)*A_{k_3015,+%\sigma_14327}(p_1)*tt_{i_3017,%del_11683}(p_3)_v*tt_{j_3017,%gam_20254}(p_4)_u^(*) + (-2)*p_3_%\sigma_14329*gamma_{%\sigma_14327,%gam_20260,%del_11686}*A_{l_3015,+%\sigma_14329}(p_2)*A_{k_3015,+%\sigma_14327}(p_1)*tt_{i_3017,%del_11686}(p_3)_v*tt_{j_3017,%gam_20260}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_tt^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_10040(X)  AntiPart A_\nu_10180(X)  to  AntiPart tt_del_11761(X)^(*)  tt_eps_4758(X) : Vertex V_0:A(X_2), tt(X_4), AntiPart  OffShell tt(V_0), Vertex V_1:A(X_1), AntiPart tt(X_3),  OffShell tt(V_1), : -2/9*i*e^2*(p_2_%\mu_8797*gamma_{+%\mu_8797,%gam_20340,%gam_20341}*gamma_{%\sigma_14370,%gam_20303,%gam_20340}*gamma_{%\sigma_14372,%gam_20341,%del_11716}*A_{l_3015,+%\sigma_14370}(p_2)*A_{k_3015,+%\sigma_14372}(p_1)*tt_{i_3017,%del_11716}(p_3)_v*tt_{j_3017,%gam_20303}(p_4)_u^(*) + (-2)*p_4_%\sigma_14370*gamma_{%\sigma_14372,%gam_20311,%del_11719}*A_{l_3015,+%\sigma_14370}(p_2)*A_{k_3015,+%\sigma_14372}(p_1)*tt_{i_3017,%del_11719}(p_3)_v*tt_{j_3017,%gam_20311}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_tt^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_9678(X)  A_\tau_11442(X)  to  c_gam_20829(X)  AntiPart c_del_12061(X)^(*) : Vertex V_1:A(X_2), c(X_3), AntiPart  OffShell c(V_1), Vertex V_0:A(X_1), AntiPart c(X_4),  OffShell c(V_0), : -2/9*i*e^2*(p_2_%\rho_10900*gamma_{%\rho_10898,%gam_20771,%del_12002}*gamma_{+%\rho_10900,%gam_20770,%gam_20771}*gamma_{%\sigma_14921,%gam_20743,%gam_20770}*A_{k_3145,+%\rho_10898}(p_1)*A_{l_3145,+%\sigma_14921}(p_2)*c_{j_3147,%del_12002}(p_4)_v*c_{i_3147,%gam_20743}(p_3)_u^(*) + (-2)*p_3_%\sigma_14921*gamma_{%\rho_10898,%gam_20749,%del_12005}*A_{k_3145,+%\rho_10898}(p_1)*A_{l_3145,+%\sigma_14921}(p_2)*c_{j_3147,%del_12005}(p_4)_v*c_{i_3147,%gam_20749}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_c^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_9678(X)  A_\tau_11442(X)  to  c_gam_20829(X)  AntiPart c_del_12061(X)^(*) : Vertex V_0:A(X_2), AntiPart c(X_4),  OffShell c(V_0), Vertex V_1:A(X_1), c(X_3), AntiPart  OffShell c(V_1), : 2/9*i*e^2*(p_2_%\nu_10659*gamma_{+%\nu_10659,%gam_20820,%gam_20821}*gamma_{%\rho_10941,%gam_20787,%gam_20820}*gamma_{%\sigma_14940,%gam_20821,%del_12034}*A_{k_3145,+%\rho_10941}(p_1)*A_{l_3145,+%\sigma_14940}(p_2)*c_{j_3147,%del_12034}(p_4)_v*c_{i_3147,%gam_20787}(p_3)_u^(*) + (-2)*p_4_%\sigma_14940*gamma_{%\rho_10941,%gam_20793,%del_12037}*A_{k_3145,+%\rho_10941}(p_1)*A_{l_3145,+%\sigma_14940}(p_2)*c_{j_3147,%del_12037}(p_4)_v*c_{i_3147,%gam_20793}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_c^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_9678(X)  A_\tau_11442(X)  to  AntiPart c_alpha_7691(X)^(*)  c_beta_3977(X) : Vertex V_1:A(X_2), c(X_4), AntiPart  OffShell c(V_1), Vertex V_0:A(X_1), AntiPart c(X_3),  OffShell c(V_0), : -2/9*i*e^2*(p_2_%\nu_10743*gamma_{%\lambda_9781,%eta_15291,%alpha_7628}*gamma_{+%\nu_10743,%eta_15290,%eta_15291}*gamma_{%\tau_11487,%eta_15267,%eta_15290}*A_{l_3175,+%\tau_11487}(p_2)*A_{k_3175,+%\lambda_9781}(p_1)*c_{j_3177,%eta_15267}(p_4)_u^(*)*c_{i_3177,%alpha_7628}(p_3)_v + (-2)*p_4_%\tau_11487*gamma_{%\lambda_9781,%eta_15273,%alpha_7631}*A_{l_3175,+%\tau_11487}(p_2)*A_{k_3175,+%\lambda_9781}(p_1)*c_{j_3177,%eta_15273}(p_4)_u^(*)*c_{i_3177,%alpha_7631}(p_3)_v)/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_c^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_9678(X)  A_\tau_11442(X)  to  AntiPart c_alpha_7691(X)^(*)  c_beta_3977(X) : Vertex V_0:A(X_2), AntiPart c(X_3),  OffShell c(V_0), Vertex V_1:A(X_1), c(X_4), AntiPart  OffShell c(V_1), : 2/9*i*e^2*(p_2_%\mu_9236*gamma_{%\lambda_9816,%eta_15312,%eta_15341}*gamma_{+%\mu_9236,%eta_15341,%eta_15342}*gamma_{%\tau_11513,%eta_15342,%alpha_7665}*A_{l_3175,+%\tau_11513}(p_2)*A_{k_3175,+%\lambda_9816}(p_1)*c_{j_3177,%eta_15312}(p_4)_u^(*)*c_{i_3177,%alpha_7665}(p_3)_v + (-2)*p_3_%\tau_11513*gamma_{%\lambda_9816,%eta_15320,%alpha_7668}*A_{l_3175,+%\tau_11513}(p_2)*A_{k_3175,+%\lambda_9816}(p_1)*c_{j_3177,%eta_15320}(p_4)_u^(*)*c_{i_3177,%alpha_7668}(p_3)_v)/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_c^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_9678(X)  AntiPart A_\lambda_10107(X)  to  c_del_12347(X)  AntiPart c_eps_4996(X)^(*) : Vertex V_1:A(X_2), AntiPart c(X_4),  OffShell c(V_1), Vertex V_0:A(X_1), c(X_3), AntiPart  OffShell c(V_0), : 2/9*i*e^2*(p_2_%\rho_11194*gamma_{%\lambda_10039,%eta_15747,%eta_15776}*gamma_{+%\rho_11194,%eta_15776,%eta_15777}*gamma_{%\sigma_15157,%eta_15777,%eps_4943}*A_{k_3209,+%\lambda_10039}(p_1)*A_{l_3209,+%\sigma_15157}(p_2)*c_{i_3211,%eta_15747}(p_3)_u^(*)*c_{j_3211,%eps_4943}(p_4)_v + (-2)*p_4_%\sigma_15157*gamma_{%\lambda_10039,%eta_15755,%eps_4946}*A_{k_3209,+%\lambda_10039}(p_1)*A_{l_3209,+%\sigma_15157}(p_2)*c_{i_3211,%eta_15755}(p_3)_u^(*)*c_{j_3211,%eps_4946}(p_4)_v)/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_c^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_9678(X)  AntiPart A_\lambda_10107(X)  to  c_del_12347(X)  AntiPart c_eps_4996(X)^(*) : Vertex V_0:A(X_2), c(X_3), AntiPart  OffShell c(V_0), Vertex V_1:A(X_1), AntiPart c(X_4),  OffShell c(V_1), : -2/9*i*e^2*(p_2_%\nu_10859*gamma_{%\lambda_10074,%eta_15822,%eps_4972}*gamma_{+%\nu_10859,%eta_15821,%eta_15822}*gamma_{%\sigma_15176,%eta_15798,%eta_15821}*A_{k_3209,+%\lambda_10074}(p_1)*A_{l_3209,+%\sigma_15176}(p_2)*c_{i_3211,%eta_15798}(p_3)_u^(*)*c_{j_3211,%eps_4972}(p_4)_v + (-2)*p_3_%\sigma_15176*gamma_{%\lambda_10074,%eta_15804,%eps_4975}*A_{k_3209,+%\lambda_10074}(p_1)*A_{l_3209,+%\sigma_15176}(p_2)*c_{i_3211,%eta_15804}(p_3)_u^(*)*c_{j_3211,%eps_4975}(p_4)_v)/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_c^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_9678(X)  AntiPart A_\lambda_10107(X)  to  AntiPart c_del_12505(X)^(*)  c_eps_5182(X) : Vertex V_1:A(X_2), c(X_4), AntiPart  OffShell c(V_1), Vertex V_0:A(X_1), AntiPart c(X_3),  OffShell c(V_0), : -2/9*i*e^2*(p_2_%\lambda_10286*gamma_{%\lambda_10282,%eta_16261,%del_12436}*gamma_{%\lambda_10284,%eta_16235,%eta_16260}*gamma_{+%\lambda_10286,%eta_16260,%eta_16261}*A_{l_3239,+%\lambda_10284}(p_2)*A_{k_3239,+%\lambda_10282}(p_1)*c_{j_3241,%eta_16235}(p_4)_u^(*)*c_{i_3241,%del_12436}(p_3)_v + (-2)*p_4_%\lambda_10284*gamma_{%\lambda_10282,%eta_16243,%del_12439}*A_{l_3239,+%\lambda_10284}(p_2)*A_{k_3239,+%\lambda_10282}(p_1)*c_{j_3241,%eta_16243}(p_4)_u^(*)*c_{i_3241,%del_12439}(p_3)_v)/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_c^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_9678(X)  AntiPart A_\lambda_10107(X)  to  AntiPart c_del_12505(X)^(*)  c_eps_5182(X) : Vertex V_0:A(X_2), AntiPart c(X_3),  OffShell c(V_0), Vertex V_1:A(X_1), c(X_4), AntiPart  OffShell c(V_1), : 2/9*i*e^2*(p_2_%\sigma_15334*gamma_{%\lambda_10346,%eta_16312,%del_12469}*gamma_{%\lambda_10348,%eta_16282,%eta_16311}*gamma_{+%\sigma_15334,%eta_16311,%eta_16312}*A_{l_3239,+%\lambda_10346}(p_2)*A_{k_3239,+%\lambda_10348}(p_1)*c_{j_3241,%eta_16282}(p_4)_u^(*)*c_{i_3241,%del_12469}(p_3)_v + (-2)*p_3_%\lambda_10346*gamma_{%\lambda_10348,%eta_16288,%del_12472}*A_{l_3239,+%\lambda_10346}(p_2)*A_{k_3239,+%\lambda_10348}(p_1)*c_{j_3241,%eta_16288}(p_4)_u^(*)*c_{i_3241,%del_12472}(p_3)_v)/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_c^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_15445(X)  A_\lambda_10739(X)  to  c_gam_21513(X)  AntiPart c_del_12779(X)^(*) : Vertex V_0:A(X_2), c(X_3), AntiPart  OffShell c(V_0), Vertex V_1:A(X_1), AntiPart c(X_4),  OffShell c(V_1), : -2/9*i*e^2*(p_2_%\nu_11012*gamma_{%\nu_11010,%gam_21455,%del_12720}*gamma_{+%\nu_11012,%gam_21454,%gam_21455}*gamma_{%\rho_11360,%gam_21427,%gam_21454}*A_{l_3273,+%\rho_11360}(p_2)*A_{k_3273,+%\nu_11010}(p_1)*c_{i_3275,%gam_21427}(p_3)_u^(*)*c_{j_3275,%del_12720}(p_4)_v + (-2)*p_3_%\rho_11360*gamma_{%\nu_11010,%gam_21433,%del_12723}*A_{l_3273,+%\rho_11360}(p_2)*A_{k_3273,+%\nu_11010}(p_1)*c_{i_3275,%gam_21433}(p_3)_u^(*)*c_{j_3275,%del_12723}(p_4)_v)/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_c^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_15445(X)  A_\lambda_10739(X)  to  c_gam_21513(X)  AntiPart c_del_12779(X)^(*) : Vertex V_1:A(X_2), AntiPart c(X_4),  OffShell c(V_1), Vertex V_0:A(X_1), c(X_3), AntiPart  OffShell c(V_0), : 2/9*i*e^2*(p_2_%\mu_9453*gamma_{+%\mu_9453,%gam_21504,%gam_21505}*gamma_{%\nu_11054,%gam_21471,%gam_21504}*gamma_{%\rho_11379,%gam_21505,%del_12752}*A_{l_3273,+%\rho_11379}(p_2)*A_{k_3273,+%\nu_11054}(p_1)*c_{i_3275,%gam_21471}(p_3)_u^(*)*c_{j_3275,%del_12752}(p_4)_v + (-2)*p_4_%\rho_11379*gamma_{%\nu_11054,%gam_21477,%del_12755}*A_{l_3273,+%\rho_11379}(p_2)*A_{k_3273,+%\nu_11054}(p_1)*c_{i_3275,%gam_21477}(p_3)_u^(*)*c_{j_3275,%del_12755}(p_4)_v)/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_c^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_15445(X)  A_\lambda_10739(X)  to  AntiPart c_alpha_8427(X)^(*)  c_beta_4187(X) : Vertex V_1:A(X_2), AntiPart c(X_3),  OffShell c(V_1), Vertex V_0:A(X_1), c(X_4), AntiPart  OffShell c(V_0), : 2/9*i*e^2*(p_2_%\mu_9540*gamma_{%\lambda_10842,%eta_16897,%alpha_8352}*gamma_{+%\mu_9540,%eta_16896,%eta_16897}*gamma_{%\sigma_15496,%eta_16867,%eta_16896}*A_{l_3303,+%\lambda_10842}(p_2)*A_{k_3303,+%\sigma_15496}(p_1)*c_{i_3305,%alpha_8352}(p_3)_v*c_{j_3305,%eta_16867}(p_4)_u^(*) + (-2)*p_3_%\lambda_10842*gamma_{%\sigma_15496,%eta_16873,%alpha_8355}*A_{l_3303,+%\lambda_10842}(p_2)*A_{k_3303,+%\sigma_15496}(p_1)*c_{i_3305,%alpha_8355}(p_3)_v*c_{j_3305,%eta_16873}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_c^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_15445(X)  A_\lambda_10739(X)  to  AntiPart c_alpha_8427(X)^(*)  c_beta_4187(X) : Vertex V_0:A(X_2), c(X_4), AntiPart  OffShell c(V_0), Vertex V_1:A(X_1), AntiPart c(X_3),  OffShell c(V_1), : -2/9*i*e^2*(p_2_%\tau_11860*gamma_{%\lambda_10875,%eta_16918,%eta_16953}*gamma_{%\sigma_15532,%eta_16954,%alpha_8395}*gamma_{+%\tau_11860,%eta_16953,%eta_16954}*A_{l_3303,+%\lambda_10875}(p_2)*A_{k_3303,+%\sigma_15532}(p_1)*c_{i_3305,%alpha_8395}(p_3)_v*c_{j_3305,%eta_16918}(p_4)_u^(*) + (-2)*p_4_%\lambda_10875*gamma_{%\sigma_15532,%eta_16926,%alpha_8398}*A_{l_3303,+%\lambda_10875}(p_2)*A_{k_3303,+%\sigma_15532}(p_1)*c_{i_3305,%alpha_8398}(p_3)_v*c_{j_3305,%eta_16926}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_c^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_15445(X)  AntiPart A_\sigma_15764(X)  to  c_del_13057(X)  AntiPart c_eps_5398(X)^(*) : Vertex V_1:A(X_2), AntiPart c(X_4),  OffShell c(V_1), Vertex V_0:A(X_1), c(X_3), AntiPart  OffShell c(V_0), : 2/9*i*e^2*(p_2_%\nu_11300*gamma_{+%\nu_11300,%eta_17380,%eta_17381}*gamma_{%\rho_11592,%eta_17381,%eps_5333}*gamma_{%\sigma_15699,%eta_17349,%eta_17380}*A_{l_3337,+%\rho_11592}(p_2)*A_{k_3337,+%\sigma_15699}(p_1)*c_{j_3339,%eps_5333}(p_4)_v*c_{i_3339,%eta_17349}(p_3)_u^(*) + (-2)*p_4_%\rho_11592*gamma_{%\sigma_15699,%eta_17357,%eps_5336}*A_{l_3337,+%\rho_11592}(p_2)*A_{k_3337,+%\sigma_15699}(p_1)*c_{j_3339,%eps_5336}(p_4)_v*c_{i_3339,%eta_17357}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_c^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
